Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Richgrove,Tulare,"2,592",56.20%,41.60%,2.30%,0.00%,0.00%,97.30%
Wawona,Mariposa,80,56.20%,0.00%,43.80%,0.00%,0.00%,0.00%
North Shore,Riverside,"2,600",56.30%,38.50%,0.00%,1.20%,3.90%,93.20%
Easton,Fresno,"1,994",56.40%,37.70%,2.30%,1.50%,2.20%,57.60%
Sisquoc,Santa Barbara,211,56.40%,26.50%,0.00%,0.00%,17.10%,44.50%
Tustin,Orange,"74,625",56.60%,19.50%,20.80%,2.00%,1.10%,37.90%
Glen Avon,Riverside,"20,393",56.80%,35.90%,2.30%,4.40%,0.70%,69.00%
Cressey,Merced,614,57.00%,42.30%,0.70%,0.00%,0.00%,63.70%
Montebello,Los Angeles,"62,470",57.00%,30.80%,10.20%,1.10%,1.00%,79.10%
Thermal,Riverside,"3,372",57.10%,39.70%,0.00%,3.20%,0.00%,94.70%
East Los Angeles,Los Angeles,"124,222",57.30%,40.80%,0.70%,0.40%,0.80%,97.80%
Mojave,Kern,"3,987",57.30%,34.50%,0.70%,6.60%,0.80%,49.60%
Dublin,Alameda,"44,171",57.50%,8.70%,26.20%,6.90%,0.70%,12.90%
Heber,Imperial,"5,662",57.70%,39.00%,0.00%,0.00%,3.20%,98.60%
South Pasadena,Los Angeles,"25,465",57.70%,9.00%,30.80%,2.00%,0.40%,21.00%
Weedpatch,Kern,"2,391",57.80%,35.50%,2.70%,0.40%,3.60%,90.80%
Brisbane,San Mateo,"4,179",57.90%,13.00%,25.60%,1.00%,2.50%,25.10%
El Sobrante (Riverside County),Riverside,"12,617",57.90%,16.40%,17.20%,8.60%,0.00%,21.30%
Boronda,Monterey,"1,606",58.00%,31.20%,9.90%,0.00%,0.90%,82.60%
Patton Village,Lassen,624,58.00%,9.60%,0.00%,19.20%,13.10%,8.00%
Plainview,Tulare,"1,101",58.00%,40.70%,0.00%,0.00%,1.30%,91.60%
Geyserville,Sonoma,"1,024",58.10%,37.60%,2.40%,0.00%,1.90%,56.70%
Riverdale,Fresno,"3,633",58.10%,37.30%,2.90%,1.50%,0.20%,68.20%
Selma,Fresno,"22,939",58.10%,35.20%,4.20%,1.70%,0.80%,79.70%
Fontana,San Bernardino,"192,779",58.20%,24.80%,6.40%,9.70%,0.90%,65.90%
El Cerrito,Contra Costa,"23,482",58.30%,9.30%,24.90%,7.20%,0.30%,12.00%
Lake Mathews,Riverside,"5,651",58.30%,28.50%,1.60%,10.10%,1.50%,35.40%
Live Oak,Sutter,"8,244",58.40%,30.70%,8.30%,0.40%,2.20%,50.30%
Cypress,Orange,"47,610",58.50%,7.50%,31.10%,2.10%,0.70%,18.10%
Mira Loma,Riverside,"20,923",58.60%,36.20%,1.70%,3.20%,0.30%,67.50%
Whitley Gardens,San Luis Obispo,244,58.60%,33.60%,0.00%,7.80%,0.00%,41.40%
Hawaiian Gardens,Los Angeles,"14,309",58.70%,27.60%,9.50%,3.20%,0.90%,78.10%
Barstow,San Bernardino,"22,913",58.80%,18.00%,1.70%,16.40%,5.00%,39.60%
Mountain View,Santa Clara,"73,394",58.80%,12.80%,25.10%,2.60%,0.80%,21.00%
Valinda,Los Angeles,"22,326",58.80%,27.30%,12.30%,1.40%,0.20%,79.00%
Coronita,Riverside,"3,117",58.90%,35.60%,3.10%,2.40%,0.00%,54.50%
Seaside,Monterey,"32,735",58.90%,20.80%,8.50%,9.10%,2.70%,40.30%
Delhi,Merced,"9,892",59.00%,28.90%,7.10%,2.20%,2.80%,67.80%
Orosi,Tulare,"9,347",59.00%,28.50%,11.20%,0.50%,0.70%,84.80%
Mesa Verde,Riverside,"1,102",59.20%,38.30%,0.00%,2.50%,0.00%,74.60%
Rialto,San Bernardino,"99,501",59.20%,22.50%,2.40%,14.90%,0.90%,67.20%
Saticoy,Ventura,851,59.30%,36.30%,0.00%,0.00%,4.30%,74.70%
Terra Bella,Tulare,"3,299",59.30%,39.90%,0.70%,0.00%,0.20%,90.70%
Home Garden,Kings,"1,726",59.40%,18.30%,0.90%,16.70%,4.70%,59.10%
Lancaster,Los Angeles,"152,678",59.50%,13.70%,5.70%,20.00%,1.10%,36.70%
Tara Hills,Contra Costa,"4,565",59.60%,13.20%,10.50%,14.90%,1.80%,37.30%
East Orosi,Tulare,231,59.70%,40.30%,0.00%,0.00%,0.00%,100.00%
Oxnard,Ventura,"194,972",59.70%,26.60%,7.90%,3.20%,2.60%,71.60%
Corcoran,Kings,"25,113",59.80%,23.80%,2.00%,12.20%,2.30%,63.00%
Lemon Grove,San Diego,"25,250",59.80%,22.60%,5.40%,11.10%,1.10%,41.70%
Stanford,Santa Clara,"13,416",59.90%,8.30%,26.20%,4.60%,1.00%,12.20%
Parlier,Fresno,"14,204",60.00%,38.40%,0.30%,0.90%,0.40%,97.10%
