Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Chino,San Bernardino,"78,050",60.8%,22.2%,9.8%,6.4%,0.9%,54.3%
Chino Hills,San Bernardino,"74,765",55.6%,11.8%,28.3%,3.8%,0.5%,30.2%
Chowchilla,Madera,"18,465",68.1%,14.3%,2.5%,10.2%,5.0%,36.7%
Chualar,Monterey,"1,182",83.0%,13.4%,1.6%,0.9%,1.1%,92.0%
Chula Vista,San Diego,"236,218",64.5%,15.4%,14.3%,4.5%,1.3%,56.8%
Citrus,Los Angeles,"10,441",43.3%,44.6%,7.4%,1.5%,3.1%,69.5%
Citrus Heights,Sacramento,"84,112",82.2%,10.5%,2.7%,3.0%,1.6%,16.5%
Claremont,Los Angeles,"34,824",72.1%,11.0%,11.0%,5.1%,0.8%,20.8%
Clarksburg,Yolo,423,87.0%,0.0%,0.0%,0.0%,13.0%,13.9%
Clay,Sacramento,"1,188",68.5%,25.3%,6.2%,0.0%,0.0%,24.4%
Clayton,Contra Costa,"10,856",85.3%,4.6%,7.6%,2.2%,0.3%,8.2%
Clear Creek,Lassen,138,96.4%,3.6%,0.0%,0.0%,0.0%,15.2%
Clearlake,Lake,"15,134",76.9%,14.2%,1.0%,5.4%,2.5%,23.9%
Clearlake Oaks,Lake,"1,291",85.8%,2.8%,0.0%,5.0%,6.4%,0.8%
Clearlake Riviera,Lake,"2,850",96.3%,0.8%,0.0%,2.2%,0.7%,12.7%
Cleone,Mendocino,736,100.0%,0.0%,0.0%,0.0%,0.0%,20.5%
Clio,Plumas,41,46.3%,53.7%,0.0%,0.0%,0.0%,53.7%
Clipper Mills,Butte,91,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cloverdale,Sonoma,"8,390",81.1%,13.6%,4.6%,0.2%,0.5%,30.2%
Clovis,Fresno,"93,304",69.2%,16.5%,9.8%,3.1%,1.4%,24.2%
Clyde,Contra Costa,529,78.8%,9.8%,11.3%,0.0%,0.0%,37.4%
Coachella,Riverside,"39,442",63.5%,34.8%,0.1%,1.3%,0.4%,96.6%
Coalinga,Fresno,"13,246",66.6%,22.1%,1.9%,7.3%,2.1%,52.0%
Coarsegold,Madera,"1,490",98.2%,1.8%,0.0%,0.0%,0.0%,4.9%
